№ п/п,Комбинат,Местоположение,Название должности,Требования,Обязанности,Условия работы,Зарплата,Категория позиции,Тип занятости:,График работы,Сфера деятельности,Кому направить резюме (e-mail),,1/10/2020
151,СВЕЗА Кострома,Кострома,Окорщик,"• Среднее  профессиональное образование;
Физическая выносливость","Участие в процессе окорки кряжей, работа на станке, с обучением","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда;
",26800,Рабочие,Полная занятость,Полный день,Производство,vo.shakhov@sveza.com,• vo.shakhov@sveza.com  [color=violet](ви оу точка шахов собака свеза точка ком)[/color],0
152,СВЕЗА Тюмень,Тюмень,Машинист котельной,"• Средне-специальное энергетическое  образование;
• Навыки работы с котельным оборудованием на твердом топливе.","• Осуществление процесса сжигания жидкого и газообразного топлива в топках печей (в том числе загрузку топлива вручную)
• регулирование процесса  дутья, тяги и температурного режима на обслуживаемом оборудовании с помощью пульта
•  подготовка оборудование и топливо к работе: чистит топки от шлака и золы,  форсунки, проверяет исправность кладки колосников топки, состояние и работу шиберов, исправность искроуловительных устройств, состояние форсунок, вентиляторов, пусковой, регулирующей и контрольно-измерительной аппаратуры и пр.
• выбирает на приборах режимы работы топок.
• наблюдает визуально за работой топок, газовой коммуникации, воздуходувок и т. п.
 текущий ремонт обслуживаемого оборудования.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда;
• Служебная развозка (ДОК, Войновка, ММС, Ембаево);
• Место работы: г. Тюмень, ул. Камчатская, д.196",,Рабочие,Полная занятость,Полный день,Производство,lp.smutok@sveza.com,• lp.smutok@sveza.com  [color=violet](эл пи точка смуток собака свеза точка ком)[/color],
153,СВЕЗА Тюмень,Тюмень,Машинист крана (крановщик),"• Среднее образование;
•Допуск до управления козловым краном, желателен опыт работы грейфером","Управление козловым краном , перемещение сырья","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда;
• Служебная развозка (ДОК, Войновка, ММС, Ембаево);
• Место работы: г. Тюмень, ул. Камчатская, д.196",,Рабочие,Полная занятость,Полный день,Производство,lp.smutok@sveza.com,• lp.smutok@sveza.com  [color=violet](эл пи точка смуток собака свеза точка ком)[/color],
154,СВЕЗА Тюмень,Тюмень,Слесарь КИПиА,• среднее профессиональное образование (слесарь КИП и А) и стаж работы не менее 2-х лет.,"• Проводит проверку работы автоматики оборудования и КИП.
• Проводит ремонтные работы на автоматике производственного оборудования/ котельного оборудования.
• Отслеживает межповерочные сроки приборов автоматики. Ведёт необходимую документацию.
• Сдаёт в поверку приборы.
• Проводит регулировку и настройку автоматики  производственного оборудования.
• Проводить регулировку и настройку автоматики котельного и насосного оборудования. Вести необходимую документацию.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда;
• Служебная развозка (ДОК, Войновка, ММС, Ембаево);
• Место работы: г. Тюмень, ул. Камчатская, д.196",,Рабочие,Полная занятость,Полный день,Производство,lp.smutok@sveza.com,• lp.smutok@sveza.com  [color=violet](эл пи точка смуток собака свеза точка ком)[/color],1
155,СВЕЗА Тюмень,Тюмень,Инженер-энергетик,"•  высшее техническое или инженерно-экономическое образование и стаж работы по специальности не менее 3 лет;
или
• среднее специальное образование и стаж работы в должности техника 3-ей категории не менее 3-х лет;
или
• на других должностях, замещаемых специалистами, со средним специальным образованием не менее 5 лет.","• Осуществляет учет, контроль потребления , отчетность по энергоресурсам;
• Обработка, систематизация и подготовка данных о расходе энергоресурсов по комбинату с целью составления и своевременного предоставления отчетности;
• Представляет ежемесячные отчёты по оплате (за воду) в финансовый отдел комбината и расходам по структурным подразделениям комбината в бухгалтерию комбината.
• Представлять ежемесячные отчёты по оплате (за электроэнергию) в финансовый отдел комбината и расходам по структурным подразделениям в бухгалтерию комбинат.
• Представлять ежемесячные отчёты по оплате в финансовый отдел и расходам по структурным подразделениям в бухгалтерию комбината.
• Осуществлять контроль над ежесуточным энергопотреблением по комбинату.
• Проводить систематический анализ энергопотребления с целью рационального использования и планомерного снижения его потребления. Доводит информацию по расходам энергоресурсов непосредственно до руководителей структурных подразделений.
• Осуществлять контроль над поступающими платёжными документами по оплате за потребление энергоресурсов, в плане соответствия объёмов потребления, тарифов, и оплате за потребленные энергоресурсы.Представляет оперативную информацию в экономический отдел по применению тарифов на энергоресурсы.
• Вести договорную документацию с поставщиками энергоресурсов.
• Готовить договора со сторонними потребителями энергоресурсов (отопление и горячее водоснабжение населения).
• Вести расчеты по количеству отданных энергоресурсов сторонним организациям.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда;
• Служебная развозка (ДОК, Войновка, ММС, Ембаево);
• Место работы: г. Тюмень, ул. Камчатская, д.196",,РСС,Полная занятость,Полный день,Производство,lp.smutok@sveza.com,• lp.smutok@sveza.com  [color=violet](эл пи точка смуток собака свеза точка ком)[/color],
156,СВЕЗА Новатор,Новатор ,"Специалист по пожарной безопасности, ГО и ЧС","• Высшее профессиональное/техническое образование;
• Стаж работы в должности специалиста/инженера по пожарной безопасности, либо инженера/специалиста по промышленной безопасности от 2-х лет в производственной компании;","• Обеспечение пожарной безопасности людей, оборудования, технологических процессов и операций;
• Организация и обеспечение формирования внутренней службы пожаротушения, действие которой направлено на оперативное реагирования в случае возникновения пожара;
• Проведение вводных инструктажей по пожарной безопасности;
• Проведение, организация обучения сотрудников всех уровней по программам пожарно-технического минимума;
• Подготовка внутрицеховых формирований по пожарной безопасности: обучение, тренировки, проверка боеготовности;
• Контроль за состоянием систем противопожарной защиты;
• Выявление потребности в обучении работников в области пожарной безопасности, ГО и ЧС, исходя из государственных нормативных требований в области пожарной безопасности, а также защиты населения от природных и техногенных ситуаций;
• Планирование, организация и контроль процессов обязательного обучения для всех категорий сотрудников комбината;
• Ведение документооборота, связанного с обязательным обучением сотрудников комбината.
","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Трудоустройство в соответствии с ТК РФ;
• Стабильная заработная плата;
• Корпоративные программы обучения, профессиональные тренинги, тренинги развития, перспективы карьерного роста;
• Стабильный социальный пакет:  спецодежда, мобильная связь, служебная развозка до места работы и обратно, ДМС и другие разнообразные льготы;
• Участие в корпоративной жизни (волонтерство, организация мероприятий).
", -,РСС,Полная занятость,Полный день,Производство,anastasiya.sukhikh@sveza.com,• anastasiya.sukhikh@sveza.com  [color=violet](анастасия точка сухих собака свеза точка ком)[/color],1
157,СВЕЗА Мантурово,Мантурово,Станочник ребросклеивающего станка,"• Среднее образование;
• Опыт работы приветствуется, но необязателен. ","• Обеспечение подачи неформатного шпона из стоп на конвейер;
• Осуществления контроля за процессом ребросклеивания;
• Обеспечение устранение дефектов ребросклеивания;
• Соблюдение правил охраны труда, промышленной безопасности и техники безопасности.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда;
• Служебная развозка (ДОК, Войновка, ММС, Ембаево);
• Место работы: г. Тюмень, ул. Камчатская, д.196",от 25 000,Рабочие,Проектная/Временная работа,Полный день,Производство,ra.kudriashova@sveza.com,#ERROR!,
158,СВЕЗА Мантурово,Мантурово,Починщик шпона и фанеры,"• Среднее образование;
• Приветствуется опыт работы на любых автоматических линиях, современных станках.","• Осуществление процесса починки шпона на станке;
• Заправка починочных полос шпона в станок;
• Скрепление степлером трещин в шпоне;
•  Участие в устранении неполадок в работе станка, уборка обслуживаемого оборудования;
• Соблюдение правил охраны труда, промышленной безопасности и техники безопасности.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Рекомендательное письмо по итогам стажировки;
• Трудоустройство в соответствии с ТК РФ на период стажировки (июнь-август);
• Компенсационный пакет: спецодежда, ДМС.",от 23 000,Рабочие,Проектная/Временная работа,Сменный график,Производство,ra.kudriashova@sveza.com,#ERROR!,
159,СВЕЗА Ресурс,Тотьма,Водитель лесовоза с гидроманипулятором,"• Среднее образование;
• Опыт работы не менее 3 лет водителем категории ""Е"";
• Опыт работы в сфере лесозаготовки на вывозке древесины с использованием техники гидроманипулятора не менее 1 года;
• Водительское удостоверение категории ""Е"".

","• Осуществляет погрузку в соответствии с техническими требованиями по качеству сырья  на погрузочной площадке;
• Осуществляет визуальный контроль качества, при погрузке сортимента;
• Осуществляет вывозку и разгрузку заготовленной древесины с погрузочной площадки на делянке на промежуточный склад;
• Проводит ежесменное обслуживание лесовоза, гидроманипулятора и прицепа;
• Поддерживает в рабочем состоянии и контролирует работу всех узлов и агрегатов лесовоза, манипулятора, прицепного устройства, заправляет топливом;
• Осуществляет оформление, хранение и передачу сопроводительных документов на перевозимые лесоматериалы;
• Осуществляет заполнение и ведение первичной учетной документации (путевка, учет ГСМ, журнал заявок на ремонт, др.);
• Участвует и содействует  в ремонте вверенного лесовоза и прицепа.
","• Работа в крупной стабильной компании (круглогодично);
• Вахтовый метод работы (15 через 15);
• Работа на территории Тотемского и Тарногского районов (Вологодская область);
• Трудоустройство в соответствии с ТК РФ;
• Официальная заработная плата (выплаты 2 раза в месяц);
• Компенсационный пакет;
• Работа на новой качественной импортной технике Ponsse;
• Комфортное проживание в вахтовом городке (новые жилые вагоны-дома).
",до 80000,Рабочие,Полная занятость,Вахтовый метод,Лесозаготовка,am.solodova@stalmail.org,• am.solodova@stalmail.org  [color=violet](а м точка солодова собака сталмэйл точка орг)[/color],
160,СВЕЗА Ресурс,Тотьма,Начальник производства,"• Высшее лесное/техническое образование;
• Успешный опыт создания и/или руководства структурой, обеспечивающей лесозаготовку и выполнение всего комплекса лесохозяйственных работ от 5 лет;
• Опыт управления персоналом и проведения переговоров с подрядными организациями;
• Знания в области нормативной базы по лесу, строительству и эксплуатации всесезонных лесовозных дорог, комплексу лесохозяйственных работ;
• Системное и стратегическое мышление, нацеленность на достижение результата, высокие коммуникативные навыки, умение убеждать и оказывать влияние, гибкость, открытость. Лидерские качества;
• Уверенный пользователь ПК.
","• Организация и оперативное управление лесозаготовительной, дорожно-строительной, лесовозной и отгрузочной деятельностью предприятия;
• Создание внутренних документов, регламентирующих процессы (лесозаготовка, транспортная логистика, хранение лесоматериалов, инвентаризация складов сырья, отгрузка, строительство лесных дорог, обслуживание техники);
• Разработка и реализация оптимального плана разработки лесной аренды, строительства и содержания объектов лесной инфраструктуры, логистики;
• Организация обеспечения производства материалами и ТМЦ;
• Развитие и постоянное совершенствование уровня ведения лесохозяйственной (лесозаготовительной) деятельности в соответствии с лучшими практиками и бенчмарками ведущих лесозаготовителей;
• Осуществление взаимодействия с региональными органами государственной власти по вопросам эксплуатации лесного участка;
• Руководство персоналом подразделения в рамках полномочий, организация процесса развития, обучения, повышения вовлеченности персонала.
","• Работа в крупной динамично развивающейся компании, мировом лидере на рынке березовой фанеры;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: ДМС;
• График работы: 5/2.
",,РСС,Полная занятость,Полный день,Лесозаготовка,am.solodova@stalmail.org,• am.solodova@stalmail.org  [color=violet](а м точка солодова собака сталмэйл точка орг)[/color],
161,СВЕЗА Ресурс,Тотьма,Мастер по дорожному строительству,"• Среднее специальное (строительное/дорожное/техническое/с/х) образование;
• Опыт работы в дорожной сфере не менее 3 лет;
• Опыт работы на руководящих должностях (мастер/прораб) в дорожно-строительных/ремонтных службах не менее 1 года;
• Знания технологий строительства, содержания и ремонта лесовозных дорог;
• Знание законодательства в области охраны труда, экологии;
• Опыт работы с подрядными организациями;
• Пользователь Excel, Word, орг. техники.
","• Составление графика строительства лесовозных магистралей;
• Формирование технического задания и сбор коммерческих предложений подрядных организаций по строительству лесовозных дорог;
• Контроль соблюдения сроков и качества строительства магистралей подрядной организацией;
• Прием выполненных работ и составление отчетных документов по окончании сроков выполнения работ подрядной организацией;
• Составление графика содержания существующих магистралей, веток и усов;
Коммуникация графика и планов по дорожному строительству смежным подразделениям и прямым подчиненным;
• Контроль выполнения работниками участка месячного и сменного заданий;
• Составление отчетных документов, документов кадрового делопроизводства;
• Получение согласований проектов на строительство дорог и изменений в проекты освоения лесов гос.органами, взаимодействие с гос.службами в области дорожного строительства (сезонное закрытие дорог, ДРСУ, согласование выездов на региональные, муниципальные дороги общего пользования и др.).
","• Работа в крупной динамично развивающейся компании, мировом лидере на рынке березовой фанеры;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: релокация, аренда жилья, ДМС, корпоративная мобильная связь;
• График работы: 5/2.
",,РСС,Полная занятость,Полный день,Лесозаготовка,am.solodova@stalmail.org,• am.solodova@stalmail.org  [color=violet](а м точка солодова собака сталмэйл точка орг)[/color],
162,СВЕЗА Ресурс,Тотьма,Машинист бульдозера ,"• Среднее образование;
• Опыт работы  на бульдозере не менее 1 года;
• Водительское удостоверение на право управления гусеничной тракторной техникой
","• Осуществляет бульдозерные работы по строительству и ремонту земляного дорожного полотна лесовозной дороги (корчевка пней, отведение воды, выравнивание дорожного полотна).
• Проводит ежесменное обслуживание бульдозера.
• Поддерживает в рабочем состоянии и контролирует работу всех узлов и агрегатов бульдозера, заправляет топливом.
• Ведет учет, снимает и передает информацию о выполненных работах (объем, качество), отработанном времени, расходе ГСМ.
• Заполняет журнал заявок на ремонт.
• Участвует и содействует в ремонте бульдозера.
","• Работа в крупной стабильной компании (круглогодично);
• Вахтовый метод работы (7 через 7);
• Работа на территории Тотемского и Тарногского районов (Вологодская область);
• Трудоустройство в соответствии с ТК РФ;
• Официальная заработная плата (выплаты 2 раза в месяц);
• Компенсационный пакет;
• Работа на новой качественной импортной технике Ponsse;
• Комфортное проживание в вахтовом городке (новые жилые вагоны-дома).
",,Рабочие,Полная занятость,Полный день,Лесозаготовка,am.solodova@stalmail.org,• am.solodova@stalmail.org  [color=violet](а м точка солодова собака сталмэйл точка орг)[/color],
163,СВЕЗА Ресурс,Тотьма,Машинист экскаватора,"• Среднее образование;
• Опыт работы  на экскаваторе не менее 1 года;
• Водительское удостоверение на право управления гусеничной тракторной техникой
","• Осуществляет экскаваторные работы по строительству и ремонту земляного дорожного полотна лесовозной дороги (профилирование, оканавка, корчевка пней, отведение воды, ямочный ремонт).
• Проводит ежесменное обслуживание экскаватора.
• Поддерживает в рабочем состоянии и контролирует работу всех узлов и агрегатов экскаватора, заправляет топливом.
• Ведет учет, снимает и передает информацию о выполненных работах (объем, качество), отработанном времени, расходе ГСМ.
• Заполняет журнал заявок на ремонт.
• Участвует и содействует в ремонте экскаватора.
","• Работа в крупной стабильной компании (круглогодично);
• Вахтовый метод работы 7/2 или 2/2;
• Работа на территории Тотемского и Тарногского районов (Вологодская область);
• Трудоустройство в соответствии с ТК РФ;
• Официальная заработная плата (выплаты 2 раза в месяц);
• Компенсационный пакет;
• Работа на новой качественной импортной технике Ponsse;
• Комфортное проживание в вахтовом городке (новые жилые вагоны-дома).
",,Рабочие,Полная занятость,Полный день,Лесозаготовка,am.solodova@stalmail.org,• am.solodova@stalmail.org  [color=violet](а м точка солодова собака сталмэйл точка орг)[/color],
164,СВЕЗА Новатор,Новатор ,Сушильщик шпона и фанеры,"• Среднее образование;
• Желание обучатся и готовность к монотонной работе",Участие в процессе сушки шпона с использованием технологического оборудования,"• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, льготное питание, служебная развозка до комбината.",от 22000,Рабочие,Полная занятость,Полный день,Производство,anastasiya.sukhikh@sveza.com,• anastasiya.sukhikh@sveza.com  [color=violet](анастасия точка сухих собака свеза точка ком)[/color],
165,СВЕЗА Новатор,Новатор ,Шлифовщик по дереву,"• Среднее образование;
• Желание обучаться и развиваться.","• Ведение процесса шлифования фанеры;
• Уборка закрепленной территории и оборудования от производственного мусора и шлифпыли;
• Контроль состояния оборудования и соевременное информирование мастера о выявленных неполадках.

","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, льготное питание, служебная развозка до комбината.",от 25000,Рабочие,Полная занятость,Полный день,Производство,anastasiya.sukhikh@sveza.com,• anastasiya.sukhikh@sveza.com  [color=violet](анастасия точка сухих собака свеза точка ком)[/color],
166,СВЕЗА Мантурово,Мантурово,Электромонтер по ремонту и обслуживанию электрооборудования ,"• Образование не ниже среднего профессионального;
• Опыт обслуживания технологического промышленного оборудования не менее 3 лет;                                                       •Удостоверение на право проведения работ в действующих электроустановках ;
•Удостоверение сварщика ручной дуговой сварки.","• Наладка, ремонт и регулировка электрооборудования, технологического оборудования, сложных электрических схем автоматических линий;
• Проверка и устранение неисправностей в схемах и устройствах электротехнического оборудования подстанций и технологических машин, приборов автоматики;
• Выполнение работ на ведомственных электростанциях, трансформаторных электростанциях с полным их отключением от напряжения оперативных переключений в электросетях, ревизией трансформаторов, выключателей, разъединителей и приводов к ним с разборкой конструктивных элементов;
• Замена пускорегулирующей аппаратуры в люминесцентных светильниках и ремонт арматуры.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, льготное питание, служебная развозка до комбината.",33000 до вычета НДФЛ,Рабочие,Полная занятость,Полный день,Техническое развитие ,ra.kudriashova@sveza.com,#ERROR!,
167,СВЕЗА Уральский,Уральский,Ведущий специалист по обучению и развитию персонала,"• Высшее профессиональное образование;
• Опыт работы по направлению ""обучение и развитие"" от 1 года.
• Навыки публичных выступлений, проведения тренингов.                                                                                          • Уверенный пользователь ПК.","• Организация профессионального обучения и развития персонала;
• Участие в процессе совершенствования системы профессионального развития рабочих;
• Проведение тренингов, участие в подготовке методических материалов, материалов для проверки знаний;
• Организация производственного обучения.
• Практическая поддержка руководителей в работе по развитию сотрудников.
","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС;
• Служебная развозка
",по договоренности,РСС,Полная занятость,Полный день,Управление персоналом ,ml.turova@sveza.com,• ml.turova@sveza.com  [color=violet](эм эл точка турова собака свеза точка ком)[/color],
168,СВЕЗА Ресурс,Тотьма,Диспетчер,"• Среднее специальное образование;
• Опыт работы с первичным документооборотом от 1 года;
• Основ ведения документооборота;
• Знание основных технических характеристик по организации работы лесовозов;
• Ответственность, исполнительность, аккуратность.
","• Организация оптимальной схемы движения лесовозов;
• Ведение первичного документооборота;
• Проведение ежесменных инструктажей;
•  Распределение лесовозов по погрузочным площадкам и направлениям вывозки;
• Составление оптимальных маршрутов и графиков движения для водителей лесовозов;
• Подготовка и выдача первичных документов для  водителей лесовозов (путевой лист, товарная накладная, сопроводительный документ, акт осмотра механиком).
","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• График день/ночь, 2 дня дома;
• Трудоустройство в соответствии с ТК РФ;
",40 000 до вычета НДФЛ,Рабочие,Полная занятость,Полный день,Производство,am.solodova@stalmail.org,• am.solodova@stalmail.org  [color=violet](а м точка солодова собака сталмэйл точка орг)[/color],
169,СВЕЗА Ресурс,Тотьма,Водитель автомобиля,"• Наличие свидетельства ДОПОГ (перевозка опасных грузов),
• Опыт вождения не менее 3 лет водителем категории С, СЕ, D
• Опыт работы по перевозке нефтепродуктов не менее 1 года обучение перевозки опасных грузов (ДОПОГ)
","• Вождение автомобиля: доставка топлива
• Техническое обслуживание бензовоза
","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• График работы 2/2 по 12 часов;
• Трудоустройство в соответствии с ТК РФ;
",40 000 до вычета НДФЛ,Рабочие,Полная занятость,Полный день,Производство,am.solodova@stalmail.org,• am.solodova@stalmail.org  [color=violet](а м точка солодова собака сталмэйл точка орг)[/color],
170,СВЕЗА Усть-Ижора,Санкт-Петербург,Стропальщик,"• Среднее образование;
•Присвоена квалификация стропальщик 4 разряда, есть документ подтверждающий",Осуществляет  строповку грузов или специальных вспомогательных приспособлений для производства погрузочно-разгрузочных работ совместно с грузоподъёмным механизмом,"• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда;
• Место работы: Санкт-Петербург, п. Понтонный",от 30 000,Рабочие,Полная занятость,Сменный график,Производство,oa.vlasova@sveza.com,oa.vlasova@sveza.com,
171,СВЕЗА Усть-Ижора,Санкт-Петербург,Клеевар,"• Среднее образование;
• Желание обучаться и готовность к монотонной работе                                                                                                                     • Приветствуется опыт работы на производстве в смены","Осуществлять приготовление клея по технологическим стандартам, приёмку состовляющих, выход клея на листы шпона.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда;
• Место работы: Санкт-Петербург, п. Понтонный",от 30 000,Рабочие,Полная занятость,Сменный график,Производство,oa.vlasova@sveza.com,oa.vlasova@sveza.com,
